numero,numeroCamara,titulo,estado,estadoAnotacion,comision,fechaRadicado,legislatura,url,origen,tipoLey,fechaEnvioComision,fechaPresentacion,fechaAprobacionPrimerDebate,fechaAprobacionSegundoDebate,fechaConciliacion,autores,exposicionMotivos,primeraPonencia,segundaPonencia,textoPlenaria,conciliacion,objeciones,concepto,textoRehecho,sentenciaCorte
"N 82/18",389/19,"POR LA CUAL MODIFICA EL ARTÍCULO 4 DE LA LEY 1882 DE 2018 ""PLIEGO TIPO",LEY,"2022 DEL 22 DE JULIO DE 2020 - Gaceta 943/20",PRIMERA,2018-08-08,2018-2019,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2018-2019/article/82-por-la-cual-modifica-el-articulo-4-de-la-ley-1882-de-2018-pliego-tipo,"SENADO DE LA REPUBLICA",ORDINARIA,2018-08-17,2018-08-08,2018-11-07,2019-05-07,2020-06-11,"[""Ministra del Interior"",""NANCY PATRICIA GUTIÉRREZ CASTAÑEDA""]",http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_584.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_733.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_1091.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2019/gaceta_395.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2020/gaceta_286.pdf,,,,
"N 81/18",399/19,"POR MEDIO DE LA CUAL SE APRUEBA EL«CONVENIO ENTRE EL GOBIERNO DE LA REPÚBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPÚBLICA ITALIANA PARA LA ELIMINACIÓN DE LA DOBLE TRIBUTACIÓN CON RESPECTO A LOS IMPUESTOS SOBRE LA RENTA Y LA PREVENCIÓN DE LA EVASIÓN Y ELUSIÓN TRIBUTARIAS» Y SU «PROTOCOLO», suscritos en Roma, el 26 de enero de 2018",LEY,"2004 DEL 28 DE NOVIEMBRE DE 2019",SEGUNDA,2018-08-06,2018-2019,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2018-2019/article/81-por-medio-de-la-cual-se-aprueba-el-convenio-entre-el-gobierno-de-la-republica-de-colombia-y-el-gobierno-de-la-republica-italiana-para-la-eliminacion-de-la-doble-tributacion-con-respecto-a-los-impuestos-sobre-la-renta-y-la-prevencion-de-la-evasion-y-elusion-tributarias-y-su-protocolo-suscritos-en-roma-el-26-de-enero-de-2018,"SENADO DE LA REPUBLICA",ORDINARIA,2018-08-17,2018-08-06,2018-11-14,2019-06-12,,"[""Ministra de Relaciones Exteriores"",""MARÍA ÁNGELA HOLGUÍN CUÉLLAR"",""Ministro de Hacienda y Crédito Público"",""MAURICIO CÁRDENAS SANTAMARÍA""]",http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_597.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_856.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_1019.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2019/gaceta_561.pdf,,,,,
"N 80/18",210/19,"POR MEDIO DE LA CUAL SE APRUEBA EL «ACUERDO ENTRE EL GOBIERNO DE LA REPÚBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPÚBLICA FRANCESA SOBRE COOPERACIÓN FINANCIERA», suscrito en Bogotá el 19 de diciembre de 2016",LEY,"2031 DEL 27 DE JULIO DE 2020",SEGUNDA,2018-08-06,2018-2019,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2018-2019/article/80-por-medio-de-la-cual-se-aprueba-el-acuerdo-entre-el-gobierno-de-la-republica-de-colombia-y-el-gobierno-de-la-republica-francesa-sobre-cooperacion-financiera-suscrito-en-bogota-el-19-de-diciembre-de-2016,"SENADO DE LA REPUBLICA",ORDINARIA,2018-08-17,2018-08-06,2018-11-04,2019-08-12,,"[""Ministra de Relaciones Exteriores"",""MARÍA ÁNGELA HOLGUÍN CUÉLLAR"",""Ministro de Hacienda y Crédito Público"",""MAURICIO CÁRDENAS SANTAMARÍA""]",http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_597.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_992.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2019/gaceta_167.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2019/gaceta_820.pdf,,,,,
"N 79/18",,"POR MEDIO DE LA CUAL SE RECONOCEN DERECHOS DEL PUEBLO ÉTNICO RAIZAL DEL ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA DENTRO DEL MARCO DEL ESTATUTO RAIZAL",ARCHIVADO,"Conforme al Artículo 153 de la Constitución Política",PRIMERA,2018-08-06,2018-2019,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2018-2019/article/79-por-medio-de-la-cual-se-reconocen-derechos-del-pueblo-etnico-raizal-del-archipielago-de-san-andres-providencia-y-santa-catalina-dentro-del-marco-del-estatuto-raizal,"SENADO DE LA REPUBLICA",ORDINARIA,2018-08-17,2018-08-06,,,,"[""Ministro del Interior Dr. GUILLERMO RIVERA FLÓREZ""]",http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_596.pdf,,,,,,,,
"N 78/18",285/18,"POR LA CUAL SE TRANSFORMA EL DEPARTAMENTO ADMINISTRATIVO DEL DEPORTE, LA RECREACIÓN, LA ACTIVIDAD FÍSICA Y EL APROVECHAMIENTO DEL TIEMPO LIBRE – COLDEPORTES EN EL MINISTERIO DEL DEPORTE",LEY,"1967 del 11 de julio 2019 (Gaceta 835/19)",PRIMERA,2018-08-06,2018-2019,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2018-2019/article/78-por-la-cual-se-transforma-el-departamento-administrativo-del-deporte-la-recreacion-la-actividad-fisica-y-el-aprovechamiento-del-tiempo-libre-coldeportes-en-el-ministerio-del-deporte,"SENADO DE LA REPUBLICA",ORDINARIA,2018-08-17,2018-08-06,2018-10-23,2018-11-21,2019-06-18,"[""Ministro del Interior GUILLERMO RIVERA FLÓREZ.""]",http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_596.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_819.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_935.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_1046.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2019/gaceta_539.pdf,,,,
"N 77/18",,"POR LA CUAL SE CREA LA SUPERINTENDENCIA DE EDUCACIÓN, SE DICTAN LAS NORMAS SOBRE EL  EJERCICIO DE FUNCIONES DE INSPECCIÓN, VIGILANCIA Y CONTROL AL SISTEMA EDUCATIVO COLOMBIANO, INCLUSIVE LAS ENTIDADES TERRITORIALES VELANDO POR SU COBERTURA, CALIDAD  Y SE DICTAN OTRAS DISPOSICIONES","ARCHIVADO POR RETIRO DEL AUTOR","Marzo 7 de 2019",PRIMERA,2018-08-03,2018-2019,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2018-2019/article/77-por-la-cual-se-crea-la-superintendencia-de-educacion-se-dictan-las-normas-sobre-el-ejercicio-de-funciones-de-inspeccion-vigilancia-y-control-al-sistema-educativo-colombiano-inclusive-las-entidades-territoriales-velando-por-su-cobertura-calidad-y-se-dictan-otras-disposiciones,"SENADO DE LA REPUBLICA",ORDINARIA,2018-08-17,2018-08-03,,,,"[""H.S. IVÁN DARÍO AGUDELO ZAPATA"",""MIGUEL ANGEL PINTO HERNANDEZ"",""H.R. CARLOS JULIO BONILLA SOTO""]",http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_596.pdf,,,,,,,,
"N 76/18",,"POR MEDIO DE LA CUAL SE ESTABLECEN INSTRUMENTOS PARA LA INSPECCIÓN, VIGILANCIA Y CONTROL DEL TRANSPORTE, SU INFRAESTRUCTURA Y SUS SERVICIOS CONEXOS Y COMPLEMENTARIOS, ASÍ COMO PARA LOS ORGANISMOS DE TRÁNSITO Y DE APOYO A ESTOS, Y SE ESTABLECEN OTRAS DISPOSICIONES",ARCHIVADO,"Retiro de Autor  el dia 6 de marzo 2019",SEXTA,2018-08-03,2018-2019,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2018-2019/article/76-por-medio-de-la-cual-se-establecen-instrumentos-para-la-inspeccion-vigilancia-y-control-del-transporte-su-infraestructura-y-sus-servicios-conexos-y-complementarios-asi-como-para-los-organismos-de-transito-y-de-apoyo-a-estos-y-se-establecen-otras-disposiciones,"SENADO DE LA REPUBLICA",-,2018-08-17,2018-08-03,,,,"[""H.S. IVAN DARIO AGUDELO ZAPATA"",""MIGUEL ANGEL PINTO HERNANDEZ"",""H.R. CARLOS JULIO BONILLA SOTO.""]",http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_595.pdf,,,,,,,,
"N 75/18",,"POR LA CUAL SE REGULAN LAS SITUACIONES EN LAS CUALES PUEDEN SER DESPLEGADAS LAS FUERZAS MILITARES, EL MARCO JURÍDICO APLICABLE PARA EL EMPLEO DEL USO DE LA FUERZA Y SE DICTAN OTRAS DISPOSICIONES",ARCHIVADO,"ARTICULO 190 DE LA 5/92 ARTICULO 162 DE LA C.P.  20/06/2019",SEGUNDA,2018-08-03,2018-2019,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2018-2019/article/75-por-la-cual-se-regulan-las-situaciones-en-las-cuales-pueden-ser-desplegadas-las-fuerzas-militares-el-marco-juridico-aplicable-para-el-empleo-del-uso-de-la-fuerza-y-se-dictan-otras-disposiciones,"SENADO DE LA REPUBLICA",ORDINARIA,2018-08-17,2018-08-03,,,,"[""Ministro de Defensa DR. LUIS CARLOS VILLEGAS ECHEVERRI.""]",http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_582.pdf,,,,,,,,
"N 74/18",408/19,"POR LA CUAL SE FORMULAN LOS LINEAMIENTOS DE POLITICA PÚBLICA PARA LA PREVENCIÓN DE DELITOS REALIZADOS A TRAVES DE MEDIOS INFORMATICOS O ELECTRONICOS, EN CONTRA DE NIÑOS, NIÑAS Y ADOLESCENTES, SE MODIFICA EL CODIGO PENAL Y SE DICTAN OTRAS DISPOSICIONES",ARCHIVADO,"Conforme al Art 190 de la Ley 5 y 162 de la C.P.",PRIMERA,2018-08-01,2018-2019,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2018-2019/article/74-por-la-cual-se-formulan-los-lineamientos-de-politica-publica-para-la-prevencion-de-delitos-realizados-a-traves-de-medios-informaticos-o-electronicos-en-contra-de-ninos-ninas-y-adolescentes-se-modifica-el-codigo-penal-y-se-dictan-otras-disposiciones,"SENADO DE LA REPUBLICA",ORDINARIA,2018-08-17,2018-08-01,2019-04-24,2019-06-10,,"[""H.S. ANA PAOLA AGUDELO GARCIA"",""CARLOS EDUARDO GUEVARA VILLABON"",""AYDEE LIZARAZO CUBILLOS"",""HR. IRMA LUZ HERRERA RODRIGUEZ""]",http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_582.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_864.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2019/gaceta_349.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2019/gaceta_561.pdf,,,,,
"N 73/18",,"POR LA CUAL SE REESTABLECEN LA MEDIDAS DE PROTECCIÓN EN CASOS DE VIOLENCIA INTRAFAMILIAR Y SE DICTAN OTRAS DISPOSICIONES","ARCHIVADO POR RETIRO DEL AUTOR","retiro de autor el 10 de septiembre de 2018",PRIMERA,2018-08-01,2018-2019,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2018-2019/article/73-por-la-cual-se-reestablecen-la-medidas-de-proteccion-en-casos-de-violencia-intrafamiliar-y-se-dictan-otras-disposiciones,"SENADO DE LA REPUBLICA",ORDINARIA,2018-08-17,2018-08-01,,,,"[""H.S. ANA PAOLA AGUDELO GARCIA"",""CARLOS EDUARDO GUEVARA VILLABON"",""AYDEE LIZARAZO CUBILLOS"",""H.R. IRMA LUZ HERRERA RODRIGUEZ""]",http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2018/gaceta_581.pdf,,,,,,,,
